"marca_tiempo";"voc";"presion sonora";"humedad_relativa_interior";"temperatura_interior";"iluminancia_interior";"pm2.5";"co2_interior";"dispositivos_contectados_wifi";"energia_ventilador_techo";"energia_iluminacion";"energia_enchufes";"energia_agua_refrigerada";"energia_ventilador_ahu";"suministro_aire";"posicion_damper";"setpoint_temperatura";"posicion_valvula_bobina_enfriamiento";"comando_valvula_bobina_enfriamiento";"velocidad_ventilador_ahu";"temperatura_ambiental_offcoil";"setpoint_temperatura_offcoil";"presion_filtro";"humedad_suministro_aire";"presion_suministro_aire";"temperatura_suministro_aire";"presion_barametrica";"temperatura_exterior";"radiacion_solar_global_horizontal";"direccion_viento";"velocidad_viento";"co2_exterior";"humedad_relativa_exterior";"ocupantes_presencia";"ocupantes_conteo"
2021-12-13 01:05:00;20;61,68333435;66,98600006;27,43000031;202,6399994;2,066666603;426,6000061;1;0;0;0,09961;0;0,02148;50,56126022;100;26,5;7,798360348;0;0;26,06352806;17;0;88,48468781;0;27,11798286;1004,101685;25,39999962;0;78,01767731;0,316569835;463,1884155;100;0;0
2021-12-13 01:10:00;20;62,23666763;66,83300018;27,45366669;207,9766693;1,966666698;425,5333252;1;0;0;0,10059;0;0,02149;55,71153259;100;26,5;7,798360348;0;0;26,06352806;17;0;88,48468781;0;27,0731926;1004;25,29999924;0;254,5163879;0,09512388;464,2620544;100;0;0
2021-12-13 01:15:00;20;62,36000061;66,65066528;27,50733376;252,0800018;2,099999905;426,8333435;1;0;0;0;0;0,01953;50,47319031;100;26,5;7,798360348;0;0;26,06352806;17;0;88,48468781;0;27,0731926;1004;25,29999924;0;138,5924072;0,199343458;463,2958374;100;0;0
2021-12-13 01:20:00;20;61,55172348;66,4310379;27,56999969;245,6000061;2,034482718;427,241394;1;0;0;0,20898;0;0,02148;55,7124176;100;26,5;7,798360348;0;0;25,91744614;17;0;88,48468781;0;27,0731926;1004;25,29999924;0;353,7173462;0,101483494;463,0958862;100;0;0
2021-12-13 01:25:00;20;61,52000046;66,18533325;27,61933327;255,6300049;2,266666651;431,8333435;1;0;0;0;0;0,02149;44,56278992;100;26,5;7,798360348;0;0;25,9149971;17;0;88,48468781;0;27,0731926;1003,900879;25,29999924;0;88,50655365;0,179583773;463,6856995;100;0;0
2021-12-13 01:30:00;22,36666679;61,82333374;65,96266937;27,69033241;198,4533386;2,166666746;433;1;0;0;0,2041;0;0,02148;44,61151505;100;26,5;7,798360348;0;0;25,9149971;17;0;88,48468781;0;27,0731926;1003,799988;25,29999924;0;48,77850342;0,77372992;462,8828125;100;0;0
2021-12-13 01:35:00;72,56666565;61,46666718;66,03433228;27,64233398;178,2200012;2,233333349;434;1;0;0;0;0;0,02149;55,71266556;100;26,5;7,798360348;0;0;25,9149971;17;0;88,48468781;0;27,0731926;1003,799988;25,29999924;0;88,11399841;0,189999998;463,2958374;100;0;0
2021-12-13 01:40:00;71,96666718;62,89333344;66,25733185;27,58600044;186,5866699;2,266666651;441,6000061;1;0;0;0,19922;0;0,02148;50,47319031;100;26,5;7,798360348;0;0;25,9149971;17;0;88,48468781;0;26,97320938;1003,801636;25,29999924;0;64,12650299;0,628510535;464,0656738;100;0;0
2021-12-13 01:45:00;37;61,27500153;66,13071442;27,59321404;204,1357117;2,285714388;448,6785583;1;0;0;0,00098;0;0,01953;50,47319031;100;26,5;7,798360348;0;0;25,9149971;17;0;88,48468781;0;26,97320938;1003,898376;25,29999924;0;41,57704926;0,134112492;463,2958374;100;0;0
2021-12-13 01:50:00;62,29999924;61,70666504;65,96800232;27,60266685;244,9400024;2,166666746;450,9333191;1;0;0;0;0;0,02149;50,47319031;100;26,5;7,798360348;0;0;25,9149971;17;0;88,48468781;0;26,97320938;1003,799988;25,29999924;0;50,33644485;0,579999983;464,4654846;100;0;0
